Survived,Pclass,Sex,Age,Fare,Family_cnt,Cabin_ind
0,3,male,22.0,7.25,1,0
1,1,female,38.0,71.2833,1,1
1,3,female,26.0,7.925,0,0
1,1,female,35.0,53.1,1,1
0,3,male,35.0,8.05,0,0
0,3,male,29.69911764705882,8.4583,0,0
0,1,male,54.0,51.8625,0,1
0,3,male,2.0,21.075,4,0
1,3,female,27.0,11.1333,2,0
1,2,female,14.0,30.0708,1,0
1,3,female,4.0,16.7,2,1
1,1,female,58.0,26.55,0,1
0,3,male,20.0,8.05,0,0
0,3,male,39.0,31.275,6,0
0,3,female,14.0,7.8542,0,0
1,2,female,55.0,16.0,0,0
0,3,male,2.0,29.125,5,0
1,2,male,29.69911764705882,13.0,0,0
0,3,female,31.0,18.0,1,0
1,3,female,29.69911764705882,7.225,0,0
0,2,male,35.0,26.0,0,0
1,2,male,34.0,13.0,0,1
1,3,female,15.0,8.0292,0,0
1,1,male,28.0,35.5,0,1
0,3,female,8.0,21.075,4,0
1,3,female,38.0,31.3875,6,0
0,3,male,29.69911764705882,7.225,0,0
0,1,male,19.0,263.0,5,1
1,3,female,29.69911764705882,7.8792,0,0
0,3,male,29.69911764705882,7.8958,0,0
0,1,male,40.0,27.7208,0,0
1,1,female,29.69911764705882,146.5208,1,1
1,3,female,29.69911764705882,7.75,0,0
0,2,male,66.0,10.5,0,0
0,1,male,28.0,82.1708,1,0
0,1,male,42.0,52.0,1,0
1,3,male,29.69911764705882,7.2292,0,0
0,3,male,21.0,8.05,0,0
0,3,female,18.0,18.0,2,0
1,3,female,14.0,11.2417,1,0
0,3,female,40.0,9.475,1,0
0,2,female,27.0,21.0,1,0
0,3,male,29.69911764705882,7.8958,0,0
1,2,female,3.0,41.5792,3,0
1,3,female,19.0,7.8792,0,0
0,3,male,29.69911764705882,8.05,0,0
0,3,male,29.69911764705882,15.5,1,0
1,3,female,29.69911764705882,7.75,0,0
0,3,male,29.69911764705882,21.6792,2,0
0,3,female,18.0,17.8,1,0
0,3,male,7.0,39.6875,5,0
0,3,male,21.0,7.8,0,0
1,1,female,49.0,76.7292,1,1
1,2,female,29.0,26.0,1,0
0,1,male,65.0,61.9792,1,1
1,1,male,29.69911764705882,35.5,0,1
1,2,female,21.0,10.5,0,0
0,3,male,28.5,7.2292,0,0
1,2,female,5.0,27.75,3,0
0,3,male,11.0,46.9,7,0
0,3,male,22.0,7.2292,0,0
1,1,female,38.0,80.0,0,1
0,1,male,45.0,83.475,1,1
0,3,male,4.0,27.9,5,0
0,1,male,29.69911764705882,27.7208,0,0
